"NIH Spending Categorization","Project Terms","Project Title","Public Health Relevance","Administering IC","Application ID","Award Notice Date","FOA","Project Number","Type","Activity","IC","Serial Number","Support Year","Suffix","Program Official Information","Project Start Date","Project End Date","Study Section","Subproject Number","Contact PI Person ID","Contact PI / Project Leader","Other PI or Project Leader(s)","Congressional District","Department","Primary DUNS","Primary UEI","DUNS Number","UEI","FIPS","Latitude","Longitude","Organization ID (IPF)","Organization Name","Organization City","Organization State","Organization Type","Organization Zip","Organization Country","ARRA Indicator","Budget Start Date","Budget End Date","CFDA Code","Funding Mechanism","Fiscal Year","Total Cost","Total Cost (Sub Projects)","Funding IC(s)","Direct Cost IC","InDirect Cost IC","NIH COVID-19 Response","Total Cost IC",
"Diabetes; Nutrition; Obesity; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human","Adipocytes;Adipose tissue;Animals;Applications Grants;Biology;Blood Vessels;Body fat;Cardiovascular Diseases;Cells;Data;Developmental Process;Diabetes Mellitus;Diet;Dominant-Negative Mutation;FABP4 gene;Fatty Acids;Fatty acid glycerol esters;Funding;Genetic;Genetic Transcription;Glucose;Goals;Health;Hyperplasia;Hypertrophy;Immune Sera;Insulin;Laboratories;Lipids;Malignant Neoplasms;Marrow;Measurement;Mediating;Medical;Mesenchymal;Mesenchymal Stem Cells;Metabolic;Metabolism;Modeling;Molecular;Multipotent Stem Cells;Mus;Non-Insulin-Dependent Diabetes Mellitus;Obesity;Osteoblasts;Osteocalcin;Pathway interactions;Peroxisome Proliferator-Activated Receptors;Physiological;Process;Proteins;Recycling;Regulation;Research;Resistance;Risk;Role;Series;Serum;Signal Pathway;Signal Transduction;Systems Biology;Testing;Transgenic Mice;Translations;Triglycerides;United States;Visceral;Weight Gain;Work;adipocyte differentiation;adiponectin;base;bone mass;extracellular;farmer;human FABP4 protein;human FRAP1 protein;human FZD4 protein;in vivo;inhibitor/antagonist;insight;lipid biosynthesis;lipid metabolism;mTOR protein;member;novel;progenitor;programs;promoter;public health relevance;receptor;research study;substantia spongiosa","Roles for Wnt signaling in adipose tissue","
Project Narrative
Obesity and weight gain are associated with diabetes and many other medical problems
including cardiovascular disease and certain cancers. Obesity is characterized by an
increase in adipose tissue due to increase in size of existing fat cells, and recruitment of
new progenitors. Wnt signaling is involved in both of these processes; however, the
mechanisms are not well understood. Thus, the proposed research will provide
important insights into adipocyte and whole body metabolism, and potentially provide
insight into the medical problems of obesity and type II diabetes, two major health risks
in the United States.","NIDDK","7652112","5/5/2009 12:00:00 AM","PA-07-070","2R01DK062876-06A2","2","R01","DK","062876","06","A","HAFT, CAROL R","2/1/2003 12:00:00 AM","6/30/2014 12:00:00 AM","Cellular Aspects of Diabetes and Obesity Study Section[CADO]"," ","1888062","MACDOUGALD, ORMOND A","Not Applicable","12","PHYSIOLOGY","073133571","GNJ7BBP73WE9","073133571","GNJ7BBP73WE9","US","42.244005","-83.73915","1506502","UNIVERSITY OF MICHIGAN AT ANN ARBOR","ANN ARBOR","MI","SCHOOLS OF MEDICINE","481091276","UNITED STATES","N","7/1/2009 12:00:00 AM","6/30/2010 12:00:00 AM","847","Non-SBIR/STTR","2009"," "," ","NIDDK"," "," "," ","378075",
"Bioengineering; Cardiovascular; Heart Disease; Heart Disease - Coronary Heart Disease; Prevention; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human","Accounting;Address;Adverse effects;Affect;Amino Acids;Animal Model;Animals;Apoptosis;Biological;Biomedical Engineering;Bone Marrow;Cardiac;Cardiac Myocytes;Cell Differentiation process;Cell Lineage;Cell Proliferation Regulation;Cell Survival;Cell physiology;Cells;Cellular biology;Characteristics;Chemicals;Cicatrix;Clinical;Collaborations;Cues;Development;Engraftment;Evaluation;Family;Gene Expression;Goals;Growth;Growth Factor;Healed;Health Care Costs;Heart;Heart failure;Hospitalization;Human;Hypertrophy;Hypoxia;In Vitro;Infarction;Injectable;Injection of therapeutic agent;Injury;Insulin-Like Growth Factor I;Kinetics;Legal patent;Measures;Mechanics;Mesenchymal;Mesenchymal Stem Cells;Modeling;Molecular;Mus;Muscle;Muscle Cells;Myocardial Infarction;Myocardial Ischemia;Myocardium;Natural regeneration;Neonatal;Outcome;Pathologic;Pathway interactions;Patients;Peptides;Physiological;Physiology;Prevention;Primary idiopathic dilated cardiomyopathy;Pump;Rattus;Recovery;Recovery of Function;Recruitment Activity;Research;Shipping;Ships;Somatomedins;Staging;Stem cells;Stress;System;Techniques;Technology;Tertiary Protein Structure;Testing;Time;Tissue Engineering;Tissues;United States;Variant;Ventricular;Ventricular Function;Work;abstracting;base;design;disability burden;functional gain;healing;hypertensive heart disease;improved;in vivo;member;migration;mortality;muscle regeneration;novel;novel strategies;novel therapeutics;physical property;prevent;progenitor;prohormone;public health relevance;repaired;scaffold;stem;stem cell differentiation;stem cell population;three-dimensional modeling;tissue regeneration","Cardiac Regeneration through Growth Factor Eluting Microrod Scaffolds","
Project Narrative
Heart failure is a common condition carrying a high burden of disability and mortality. Current estimates are
that heart failure accounts for approximately one million hospitalizations and
$10 billion in health care costs in the United States per year. The main underlying causes of heart failure are
ischemic heart disease, hypertension and idiopathic dilated cardiomyopathy, whose common pathophysiologic
characteristic is an inadequate mass of functional myocytes. This proposal develops and tests a novel
therapeutic 3D eluting microrod scaffold (MRS) system to deliver a natural cardiac growth factor for aiding in
the regeneration and recovery of damaged cardiac muscle in culture and animal models.","NHLBI","7690669","9/9/2009 12:00:00 AM","PAR-06-504","1R01HL090523-01A2","1","R01","HL","090523","01","A","LUNDBERG, MARTHA","9/15/2009 12:00:00 AM","7/31/2010 12:00:00 AM","ZEB1-OSR-D(M1)S"," ","7579967","GOLDSPINK, PAUL H","Not Applicable","07","INTERNAL MEDICINE/MEDICINE","098987217","W8XEAJDKMXH3","098987217","W8XEAJDKMXH3","US","41.880316","-87.687597","577703","UNIVERSITY OF ILLINOIS AT CHICAGO","Chicago","IL","SCHOOLS OF MEDICINE","606124305","UNITED STATES","N","9/15/2009 12:00:00 AM","7/31/2010 12:00:00 AM","837","Non-SBIR/STTR","2009"," "," ","NHLBI"," "," "," ","405000",
"Biotechnology; Cardiovascular; Heart Disease; Heart Disease - Coronary Heart Disease; Prevention; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; Transplantation","Acute;Acute myocardial infarction;Adult;Animal Model;Animals;Anti-Inflammatory Agents;Anti-inflammatory;Antihypertensive Agents;Antioxidants;Apoptosis;Apoptotic;Attenuated;Blood Vessels;Blood capillaries;Bone Marrow;Brain;Cardiac;Cardiac Myocytes;Cardiovascular Diseases;Cardiovascular system;Cell Survival;Cell Therapy;Chronic;Endothelial Cells;Enzymes;Fibrosis;Functional disorder;Funding;Gene Delivery;Genes;Genetic;Genetically Modified Animals;Glycogen Synthase Kinase 3;Goals;Grant;Growth;Healed;Heart;Heart Hypertrophy;Heart failure;Human;Hypertrophy;Hypotension;Hypoxia;Infarction;Inflammation;Injury;Ischemia;Ischemic Stroke;Isoproterenol;Kallikrein-Kinin System;Kidney;Kidney Diseases;Kininogenase;Kininogens;Kinins;Knockout Mice;Mediating;Mesenchymal Stem Cell Transplantation;Mesenchymal Stem Cells;Mitogen-Activated Protein Kinases;Modeling;Modification;Molecular;Myocardial;Myocardial Infarction;Myocardial Ischemia;Myocardium;Natural regeneration;Nitric Oxide;Norway;Organ;Prevention;Property;Proteins;Proteolysis;Rattus;Reactive Oxygen Species;Regulation;Renal function;Reperfusion Therapy;Research;Resistance;Rodent;Role;Signal Pathway;Signal Transduction;Stem cells;Testing;Therapeutic;Tissue Kallikrein;Transgenic Mice;Treatment Protocols;Tube;Vascular Endothelial Growth Factors;Ventricular Remodeling;angiogenesis;base;blood pressure regulation;capillary;cell type;chemokine;cytokine;healing;heme oxygenase-1;human tissue;implantation;improved;innovation;insight;migration;neovascularization;novel;novel therapeutics;overexpression;paracrine;pressure;prevent;receptor;repaired;stem cell therapy","Regulation and Function of Tissue Kallikrein","n/a","NHLBI","7618410","7/8/2009 12:00:00 AM","PA-07-070","5R01HL029397-26","5","R01","HL","029397","26"," ","GAO, YUNLING","7/1/1986 12:00:00 AM","5/31/2013 12:00:00 AM","Hypertension and Microcirculation Study Section[HM]"," ","1887486","CHAO, JULIE ","Not Applicable","01","BIOCHEMISTRY","183710748","NHV3GTWSALA7","183710748","NHV3GTWSALA7","US","32.788289","-79.954891","7575301","MEDICAL UNIVERSITY OF SOUTH CAROLINA","CHARLESTON","SC","SCHOOLS OF MEDICINE","294074636","UNITED STATES","N","6/1/2009 12:00:00 AM","5/31/2010 12:00:00 AM","837","Non-SBIR/STTR","2009"," "," ","NHLBI"," "," "," ","368750",
"Biotechnology; Cardiovascular; Heart Disease; Heart Disease - Coronary Heart Disease; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; Transplantation","Acute myocardial infarction;Adjuvant;Adopted;Adverse effects;Angioplasty;Antihypertensive Agents;Atherectomy;Binding;Blood flow;Bone Marrow;Cardiac;Cardiac Myocytes;Cardiovascular system;Cell Survival;Cell Therapy;Cell Transplants;Cell fusion;Cell physiology;Cells;Chimera organism;Chimeric Proteins;Complex;Coronary Artery Bypass;Degenerative Disorder;Educational process of instructing;Engraftment;Event;Extracellular Matrix;Family suidae;Frequencies;Gene Transfer;Heart;Human;Immune response;In Vitro;Incidence;Individual;Infarction;Infusion procedures;Injury;Lead;Left;Leukocytes;Life;Lipids;Liposomes;Mediating;Membrane;Mesenchymal Stem Cell Transplantation;Mesenchymal Stem Cells;Metabolic;Methods;Modeling;Moloney Leukemia Virus;Monitor;Murine leukemia virus;Mus;Muscle Cells;Muscle function;Myocardial;Myocardial Infarction;Myocardial Ischemia;Myocardial tissue;Myocardium;Natural regeneration;Outcome;Patients;Procedures;Production;Proteins;Recovery;Reporting;Research;Route;Somatic Cell;Stem cell transplant;Stem cells;Surface;Testing;Therapeutic Intervention;Time;Tissues;Transfection;Transplantation;Vascular blood supply;Vasodilator Agents;Ventricular;Virus;Wild Type Mouse;base;density;effective therapy;env Gene Products;experience;heart function;human stem cells;improved;in vivo;injured;innovation;insight;minimally invasive;primitive cell;programs;public health relevance;regenerative;repaired;research study;stem cell differentiation;tool;trait;transduction efficiency;vector","Directed Cell Fusion for the Treatment of Myocardial Infarction","
PROJECT NARRATIVE
Myocardial infarction (i.e., heart attack) occurs in nearly one million individuals every year and yet there exists no
therapy to recover lost heart function after such an event. Stem cells could provide a basis for effective therapies to
recover lost heart function. We propose to utilize insights gained from stem cell function in healthy tissue and tools
optimized by viruses to advance the utility of stem cells for repair of the heart following an attack.","NHLBI","7659257","4/1/2009 12:00:00 AM","PA-06-407","1R21HL089679-01A2","1","R21","HL","089679","01","A","ADHIKARI, BISHOW B","4/1/2009 12:00:00 AM","3/31/2011 12:00:00 AM","Myocardial Ischemia and Metabolism Study Section[MIM]"," ","7009403","OGLE, BRENDA M","Not Applicable","02","BIOMEDICAL ENGINEERING","161202122","LCLSJAGTNZQ7","161202122","LCLSJAGTNZQ7","US","43.068377","-89.40086","578503","UNIVERSITY OF WISCONSIN-MADISON","MADISON","WI","BIOMED ENGR/COL ENGR/ENGR STA","537151218","UNITED STATES","N","4/1/2009 12:00:00 AM","3/31/2010 12:00:00 AM","837","Non-SBIR/STTR","2009"," "," ","NHLBI"," "," "," ","181745",
"Bioengineering; Dental/Oral and Craniofacial Disease; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Transplantation","Adipose tissue;Adult;Allogenic;Autologous;Biocompatible Materials;Biological Assay;Biology;Biomedical Engineering;Blood Vessels;Bone Development;Bone Marrow;Bone Marrow Aspiration;Bone Substitutes;Bone Tissue;Bone Transplantation;Caliber;Calvaria;Cell Density;Cell Lineage;Cell physiology;Cells;Chronic Disease;Clinical;Communities;Connexin 43;Data;Defect;Dermal;Development;Dimensions;Dose;Endothelial Cells;Engineering;Excision;Flow Cytometry;Fluorescence;Fluorescence-Activated Cell Sorting;Goals;Gold;Growth Factor;Healed;Hematopoiesis;Hematopoietic Stem Cell Transplantation;Hematopoietic stem cells;Histology;Homeostasis;Human;Hydroxyapatites;Immunohistochemistry;In Vitro;Mechanics;Mediating;Mesenchymal Stem Cell Transplantation;Mesenchymal Stem Cells;Modality;Modeling;Molecular;Morbidity - disease rate;Natural regeneration;Nerve;Nude Rats;Operative Surgical Procedures;Osteoblasts;Osteocalcin;Osteogenesis;Outcome;Outcome Measure;Outpatients;Platelet-Derived Growth Factor;Polystyrenes;Population;Procedures;Reporting;Shapes;Site;Smooth Muscle Actin Staining Method;Spectroscopy, Fourier Transform Infrared;Stem cells;Stromal Cells;Structure;Surgeon;Testing;Tissue Engineering;Tissues;Translations;Transplantation;Trauma;Tubular formation;Vascular Endothelial Growth Factors;Vascularization;Work;analog;angiogenesis;base;bone;bone healing;bone sialoprotein;clinical practice;clinically significant;computerized;controlled release;expectation;healing;immunocytochemistry;improved;in vivo;novel;osteogenic;osteopontin;pathogen;public health relevance;reconstruction;scaffold;skeletal;stem;tissue culture;transmission process;tumor","Engineering of Vascularized Bone","
Project Narrative
Bone grafts are critically needed in surgical procedures to reconstruct skeletal
defects resulting from trauma, chronic diseases, tumor removal and congenital
anomalies. Autologous bone grafts are the clinical gold standard, but necessitate
donor site trauma and morbidity; allogeneic or xenogeneic grafts are associated
with immunorejection, pathogen transmission and suboptimal healing and
synthetic materials such as hydroxyapatite suffer from poor integration. In this
proposal, we have engineered vascularized bone grafts from the combined
actions of vascular progenitor cells and bone progenitor cells; the vascularized
bone grafts can be tailored to any shape and dimension, and integrate with host's
existing bone, thus providing an improved treatment modality for bone defects.","NIDCR","7732025","9/25/2009 12:00:00 AM","PA-07-279","1R01DE018248-01A2","1","R01","DE","018248","01","A","LUMELSKY, NADYA L","9/25/2009 12:00:00 AM","5/31/2013 12:00:00 AM","Special Emphasis Panel[ZRG1-MOSS-B(03)M]"," ","1866984","MAO, JEREMY J","Not Applicable","13","DENTISTRY","621889815","QHF5ZZ114M72","621889815","QHF5ZZ114M72","US","40.841253","-73.940404","1833205","COLUMBIA UNIVERSITY HEALTH SCIENCES","NEW YORK","NY","SCHOOLS OF DENTISTRY/ORAL HYGN","100323725","UNITED STATES","N","9/25/2009 12:00:00 AM","5/31/2010 12:00:00 AM","121","Non-SBIR/STTR","2009"," "," ","NIDCR"," "," "," ","568427",
"Bioengineering; Regenerative Medicine; Rehabilitation; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human","Accounting;Activities of Daily Living;Acute;Address;Affect;Biological;Biomechanics;Cells;Chronic;Clinical;Collagen;Collagen Type I;Defect;Engineering;Environment;Epicondylitis;Exhibits;Extracellular Matrix;Failure;Fibrillar Collagen;Gait;Gel;Gene Expression;Grant;Harvest;Healed;Implant;In Vitro;Injury;Knee;Lead;Ligaments;Link;Measures;Mechanical Stimulation;Mechanics;Mesenchymal Stem Cells;Methods;Modeling;Mus;Normal Range;Operative Surgical Procedures;Orthopedics;Oryctolagus cuniculus;Outcome;Pain;Pattern;Physiological;Porifera;Postoperative Pain;Recovery;Research;Research Personnel;Rotator Cuff;Series;Shapes;Signal Transduction;Simulate;Site;Stimulus;Strenuous Exercise;Structure;Surface;System;Tendinitis;Tendon Injuries;Tendon structure;Testing;Time;Tissue Engineering;Tissues;Treatment Factor;United States National Institutes of Health;Work;achilles tendon;base;design;disability;falls;foot;healing;improved;improved functioning;in vivo;meetings;novel;programs;reconstruction;repaired;simulation;soft tissue","""In Vitro Mechanical Stimulation to Enhance Tendon Repair""","n/a","NIAMS","7673863","8/11/2009 12:00:00 AM"," ","5R01AR046574-10","5","R01","AR","046574","10"," ","WANG, FEI","7/19/2000 12:00:00 AM","8/31/2011 12:00:00 AM","Special Emphasis Panel[ZRG1-MTE(01)Q]"," ","1858171","BUTLER, DAVID L","Not Applicable","01","ENGINEERING (ALL TYPES)","041064767","DZ4YCZ3QSPR5","041064767","DZ4YCZ3QSPR5","US","39.142998","-84.503581","1523902","UNIVERSITY OF CINCINNATI","CINCINNATI","OH","BIOMED ENGR/COL ENGR/ENGR STA","452210001","UNITED STATES","N","9/1/2009 12:00:00 AM","8/31/2011 12:00:00 AM","846","Non-SBIR/STTR","2009"," "," ","NIAMS"," "," "," ","411446",
"Aging; Atherosclerosis; Bioengineering; Biotechnology; Cardiovascular; Hematology; Nanotechnology; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; Transplantation","Address;Allogenic;Aneurysm;Animal Model;Arteries;Atherosclerosis;Autologous;Biocompatible;Biocompatible Materials;Biological Markers;Biomimetics;Blood Vessels;Bone Marrow;Bone Marrow Stem Cell;Bypass;Caliber;Cell Adhesion;Cells;Collagen;Development;Endothelial Cells;Engineering;Extracellular Matrix;Failure;Goals;Laboratories;Lead;Liquid substance;Mechanics;Mesenchymal Stem Cells;Molecular Structure;Monitor;Operative Surgical Procedures;Peptides;Prevention;Procedures;Production;Property;RGD (sequence);Research;Smooth Muscle Myocytes;Source;Stem cells;Structure;Surface;Technology;Testing;Thrombosis;Tissue Engineering;Tissues;Transforming Growth Factors;Transplantation;Tubular formation;Vascular Diseases;Vascular Graft;Veins;adult stem cell;base;biodegradable polymer;cell type;common treatment;immunogenic;in vivo;innovative technologies;monolayer;nanofiber;novel;poly(lactic acid);precursor cell;prevent;repaired;response;scaffold;scale up;shear stress;stem cell differentiation;vascular tissue engineering","Tissue Engineered Nanofibrous Vascular Graft","n/a","NHLBI","7657324","7/27/2009 12:00:00 AM","RFA-HL-05-013","5R01HL083900-04","5","R01","HL","083900","04"," ","LUNDBERG, MARTHA","9/30/2006 12:00:00 AM","6/30/2011 12:00:00 AM","ZHL1-CSR-N(F1)"," ","3129839","LI, SONG ","Not Applicable","13","BIOMEDICAL ENGINEERING","124726725","GS3YEVSS12N6","124726725","GS3YEVSS12N6","US","37.870295","-122.268133","577502","UNIVERSITY OF CALIFORNIA BERKELEY","BERKELEY","CA","BIOMED ENGR/COL ENGR/ENGR STA","947101749","UNITED STATES","N","7/1/2009 12:00:00 AM","6/30/2010 12:00:00 AM","837","Non-SBIR/STTR","2009"," "," ","NHLBI"," "," "," ","354634",
"Bioengineering; Biotechnology; Dental/Oral and Craniofacial Disease; Genetics; Pediatric; Regenerative Medicine","Address;Apert syndrome;Area;Biocompatible Materials;Cell Line;Cells;Cephalic;Chondrogenesis;Coculture Techniques;Congenital Abnormality;Craniofacial Abnormalities;Defect;Development;Diagnostic radiologic examination;Disease;Event;FGFR2 gene;Gene Expression;Growth;Growth Factor;Histology;Hydrogels;In Vitro;Investigation;Kinetics;Knock-in Mouse;Knowledge;Light;Medicine;Mesenchymal Stem Cells;Modeling;Morphology;Mouse Cell Line;Mus;Musculoskeletal;Mutant Strains Mice;Mutation;Natural regeneration;Normal Cell;Operative Surgical Procedures;Osteogenesis;Outcome;Process;Protein Secretion;Proteomics;Research;Research Personnel;Siblings;Source;System;Technology;Testing;Tissue Engineering;Tissues;base;cell behavior;craniofacial;craniofacial repair;cranium;design;improved;in vivo;long bone;minimally invasive;monolayer;mouse model;multidisciplinary;mutant;novel;novel strategies;programs;reconstruction;repaired;response;scaffold","Tissue Engineering in Congenital Craniofacial Defects","n/a","NIDCR","7652360","8/21/2009 12:00:00 AM","PA-02-011","5R01DE016887-04","5","R01","DE","016887","04"," ","LUMELSKY, NADYA L","7/1/2006 12:00:00 AM","5/31/2011 12:00:00 AM","Musculoskeletal Tissue Engineering Study Section[MTE]"," ","1933722","ELISSEEFF, JENNIFER H","Not Applicable","07","BIOMEDICAL ENGINEERING","001910777","FTMTDMBR29C7","001910777","FTMTDMBR29C7","US","39.329164","-76.617855","4134401","JOHNS HOPKINS UNIVERSITY","BALTIMORE","MD","SCHOOLS OF MEDICINE","212182680","UNITED STATES","N","6/1/2009 12:00:00 AM","5/31/2011 12:00:00 AM","121","Non-SBIR/STTR","2009"," "," ","NIDCR"," "," "," ","381324",
"Dental/Oral and Craniofacial Disease; Genetics; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; Transplantation","Address;Affect;Bone Regeneration;Cell Line;Cell physiology;Cells;Cementoblast;Chondroblast;Chronic;Clinical;Data;Dental Cementum;Disease;Engraftment;Fibroblasts;Flow Cytometry;Gene Expression;Genes;Genetic;Genetic Transcription;Goals;Healed;Human Cell Line;I-kappa B Proteins;In Vitro;Inflammation;Inflammatory;Knock-out;Knockout Mice;Lesion;Mediating;Mesenchymal Stem Cells;Microbe;Modeling;Myoblasts;Natural regeneration;Oral;Osteoblasts;Osteogenesis;Particulate;Pathway interactions;Periodontal Diseases;Periodontal Ligament;Periodontitis;Periodontium;Process;Research Personnel;Role;Signal Transduction;Source;Stem cells;Stimulus;Testing;Therapeutic;Transactivation;Transfection;Work;Wound Healing;base;bone;healing;improved;inhibitor/antagonist;mouse model;new therapeutic target;osteoblast differentiation;programs;research study;response;stem;stem cell biology;stem cell differentiation;stem cell fate specification;stem cell niche;success;tissue regeneration","Inflammatory Control of Periodontal Regeneration","n/a","NIDCR","7672383","9/17/2009 12:00:00 AM"," ","5R01DE016986-03","5","R01","DE","016986","03"," ","LUMELSKY, NADYA L","9/1/2007 12:00:00 AM","8/31/2012 12:00:00 AM","Oral, Dental and Craniofacial Sciences Study Section[ODCS]"," ","6205669","COOPER, LYNDON F","Not Applicable","04","DENTISTRY","608195277","D3LHU66KBLD5","608195277","D3LHU66KBLD5","US","35.926939","-79.038605","578206","UNIV OF NORTH CAROLINA CHAPEL HILL","CHAPEL HILL","NC","SCHOOLS OF DENTISTRY/ORAL HYGN","275995023","UNITED STATES","N","9/1/2009 12:00:00 AM","8/31/2010 12:00:00 AM","121","Non-SBIR/STTR","2009"," "," ","NIDCR"," "," "," ","351286",
"Aging; Bioengineering; Biotechnology; Genetics; Osteoporosis; Regenerative Medicine","Adenosine Triphosphate;Affect;Age-Related Bone Loss;Attenuated;Biomechanics;Bioreactors;Bone Tissue;Candidate Disease Gene;Cell Differentiation process;Cell Proliferation;Cells;Cellular biology;Coculture Techniques;Connexin 43;Connexins;Data;Devices;Environment;Gap Junctions;Gene Deletion;Gene Proteins;Genetically Engineered Mouse;Goals;Housing;Human;In Vitro;Literature;Mechanics;Mesenchymal Stem Cells;Modeling;Molecular Profiling;Mus;Musculoskeletal;Nucleotides;Osteoblasts;Osteocytes;Osteogenesis;Pathology;Peptides;Phenotype;Phosphorylation;Physical environment;Postmenopause;Property;Proteomics;Protocols documentation;Purinoceptor;Signal Transduction;Site-Directed Mutagenesis;Tissue Engineering;Transgenic Organisms;bone;bone cell;cell type;controlled release;design;fluid flow;in vivo;indexing;innovation;insight;intercellular communication;long bone;new therapeutic target;novel;osteoblast differentiation;osteogenic;protein expression;research study;response;small hairpin RNA;tibia","Gap Junction and Bone Cell Responses to Physical Signals","n/a","NIA","7627953","6/17/2009 12:00:00 AM"," ","5R01AG013087-13","5","R01","AG","013087","13"," ","WILLIAMS, JOHN","9/15/1994 12:00:00 AM","6/30/2011 12:00:00 AM","Special Emphasis Panel[ZRG1-MOSS-K(04)M]"," ","1865703","DONAHUE, HENRY J","Not Applicable","10","ORTHOPEDICS","129348186","TNKGNDAWB445","129348186","TNKGNDAWB445","US","40.26536","-76.625873","1524204","PENNSYLVANIA STATE UNIV HERSHEY MED CTR","HERSHEY","PA","SCHOOLS OF MEDICINE","170332360","UNITED STATES","N","7/1/2009 12:00:00 AM","6/30/2010 12:00:00 AM","866","Non-SBIR/STTR","2009"," "," ","NIA"," "," "," ","285783",
"Cardiovascular; Heart Disease; Heart Disease - Coronary Heart Disease; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Embryonic - Non-Human; Stem Cell Research - Nonembryonic - Non-Human; Transplantation","Accounting;Acute;Address;Adult;Animals;Blood Pressure;Bone Marrow;Cardiac;Cardiac Myocytes;Cell Differentiation process;Cell Survival;Cells;Chronic;Deterioration;Differentiation Antigens;Exhibits;Goals;Graft Survival;Image;Imaging Techniques;Impairment;Infarction;Lead;Left;Left Ventricular Remodeling;Location;Magnetic Resonance Imaging;Measurement;Measures;Mediating;Mesenchymal Stem Cells;Methods;Modality;Monitor;Motion;Myocardial;Myocardial Infarction;Myocardium;Outcome;Radial;Radionuclide Imaging;Recovery;Recovery of Function;Reporter Genes;Research Personnel;Resolution;Staging;Stem cells;Stress;System;Techniques;Testing;Therapeutic;Therapeutic Effect;Time;Variant;Ventricular;Ventricular Remodeling;cell type;embryonic stem cell;functional disability;functional improvement;functional loss;imaging modality;migration;optical imaging;programs;response;stem cell therapy","Imaging Stem Cell Grafted in the Infarcted Myocardium","n/a","NHLBI","7587945","3/19/2009 12:00:00 AM","PA-02-011","5R01HL081185-04","5","R01","HL","081185","04"," ","EVANS, FRANK","4/1/2006 12:00:00 AM","3/31/2013 12:00:00 AM","Medical Imaging Study Section[MEDI]"," ","7614853","ZHOU, RONG ","Not Applicable","03","RADIATION-DIAGNOSTIC/ONCOLOGY","042250712","GM1XX56LEP58","042250712","GM1XX56LEP58","US","39.952982","-75.192768","6463801","UNIVERSITY OF PENNSYLVANIA","PHILADELPHIA","PA","SCHOOLS OF MEDICINE","191046205","UNITED STATES","N","4/1/2009 12:00:00 AM","3/31/2013 12:00:00 AM","837","Non-SBIR/STTR","2009"," "," ","NHLBI"," "," "," ","436568",
"Aging; Biotechnology; Brain Disorders; Neurosciences; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Stem Cell Research - Nonembryonic - Non-Human; Stroke; Transplantation","Adult;Allogenic;Animal Model;Applications Grants;Behavioral;Bone Marrow;Bone Marrow Stem Cell;Cause of Death;Cell Therapy;Cells;Clinical;Data;Development;Disease;Dose;Facilities and Administrative Costs;Female;Histocompatibility;Homing;Human;Immune;Inflammatory Response;Injury;Intravenous;Ischemic Stroke;Legal patent;Ligation;Marketing;Mediating;Medical;Mesenchymal Stem Cells;Middle Cerebral Artery Occlusion;Minnesota;Modeling;Modification;Multipotent Stem Cells;Neurons;Patients;Pluripotent Stem Cells;Population;Preparation;Primates;Process;Property;Protocols documentation;Rattus;Recovery;Rights;Rodent;Rodent Model;Safety;Series;Site;Stem cells;Stroke;Techniques;Therapeutic;Time;Transplantation;United States;United States National Institutes of Health;Universities;aged;base;cytokine;disability;human disease;immunogenic;innovation;male;meetings;middle cerebral artery;post stroke;pre-clinical;preclinical study;regenerative;research study;response;stem;stem cell therapy;stroke therapy","Transplantation of Multipotent Progenitor Cells in Stroke","n/a","NINDS","7940915"," ","PAR-05-158","5U01NS055914-03","5","U01","NS","055914","03"," "," "," "," ","National Institute of Neurological Disorders and Stroke Initial Review Group[NSD]","0001","7037978","BORLONGAN, CESARIO V","Not Applicable","14","Unavailable","069687242","NKAZLXLL7Z91","069687242","NKAZLXLL7Z91","US","28.056171","-82.419731","513807","UNIVERSITY OF SOUTH FLORIDA","TAMPA","FL","Domestic Higher Education","336172008","UNITED STATES","N","8/1/2010 12:00:00 AM","7/31/2011 12:00:00 AM"," ","Non-SBIR/STTR","2009","146585","146585"," "," "," "," "," ",
