"NIH Spending Categorization","Project Terms","Project Title","Public Health Relevance","Administering IC","Application ID","Award Notice Date","FOA","Project Number","Type","Activity","IC","Serial Number","Support Year","Suffix","Program Official Information","Project Start Date","Project End Date","Study Section","Subproject Number","Contact PI Person ID","Contact PI / Project Leader","Other PI or Project Leader(s)","Congressional District","Department","Primary DUNS","Primary UEI","DUNS Number","UEI","FIPS","Latitude","Longitude","Organization ID (IPF)","Organization Name","Organization City","Organization State","Organization Type","Organization Zip","Organization Country","ARRA Indicator","Budget Start Date","Budget End Date","CFDA Code","Funding Mechanism","Fiscal Year","Total Cost","Total Cost (Sub Projects)","Funding IC(s)","Direct Cost IC","InDirect Cost IC","NIH COVID-19 Response","Total Cost IC",
"Arthritis; Bioengineering; Biotechnology; Complementary and Alternative Medicine; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human","Adhesives;Animals;Area;Arthritis;Autologous;Biomechanics;Bioreactors;Carbodiimides;Cartilage;Cell Culture Techniques;Cells;Chondrocytes;Collagen;Defect;Degenerative polyarthritis;Engineering;Ensure;Failure;Fibrin Tissue Adhesive;Goals;Goat;Growth Factor;Harvest;Histology;Hyaluronan;Image;Immunochemistry;Implant;In Vitro;Joints;Lateral;Length;Life;Magnetic Resonance Imaging;Maps;Measures;Mechanics;Mesenchymal Stem Cells;Methods;Modeling;Nude Mice;Omega-3 Fatty Acids;Operative Surgical Procedures;Organ Culture Techniques;Oryctolagus cuniculus;Outcome;Paste substance;Pre-Clinical Model;Procedures;Production;Property;Prosthesis;Replacement Arthroplasty;Sheep;Site;Surface;Testing;Thick;Tissue Engineering;Tissues;Variant;adhesive polymer;alternative treatment;articular cartilage;base;bone;calcium phosphate;cartilage repair;density;design;follow-up;implant material;implantation;in vivo;in vivo Model;repaired;scaffold;sound;stem;tissue repair","Total Joint Resurfacing","n/a","NIAMS","8380791","7/20/2012 12:00:00 AM"," ","5P01AR053622-05","5","P01","AR","053622","05"," "," "," ","4/30/2014 12:00:00 AM","ZAR1-CHW-J","0003","1860065","DENNIS, JAMES E","Not Applicable","11","Unavailable","077758407","HJMKEF7EJW69","077758407","HJMKEF7EJW69","US","41.505076","-81.609998","218601","CASE WESTERN RESERVE UNIVERSITY","CLEVELAND","OH","Domestic Higher Education","441061712","UNITED STATES","N","8/1/2012 12:00:00 AM","7/31/2013 12:00:00 AM"," ","Non-SBIR/STTR","2012","68118","68118"," ","68118","0"," "," ",
"Assistive Technology; Bioengineering; Biotechnology; Digestive Diseases; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Stem Cell Research - Nonembryonic - Non-Human","Abdomen;Accounting;Adipose tissue;Affinity;Animal Model;Autologous;Binding;Biocompatible;Biocompatible Materials;Bioprosthesis device;Blood Vessels;Caring;Cell Therapy;Cells;Cellular Infiltration;Clinical Trials;Data;Dermal;Devices;Distress;Failure;Fascia;Fibroblasts;Foreign Bodies;Fracture;Goals;Healed;Hernia;Infection prevention;Injury;Inpatients;Left;Letters;Life;Link;Mediating;Mesenchymal Stem Cells;Myocardial;Operative Surgical Procedures;Pain;Patients;Peptide Synthesis;Peptides;Phase;Phenotype;Process;Production;Protocols documentation;Recurrence;Secure;Series;Site;Stem cells;Sterilization;Stromal Cells;Surgeon;Suture Techniques;Technology;Testing;Time;Tissues;United States;Ursidae Family;Vascularization;Visceral;adult stem cell;biomaterial compatibility;cost;design;follow-up;healing;immunogenic;improved;in vivo;interest;manufacturing process;meetings;novel;paracrine;point of care;prevent;prototype;repaired;research study;response;scale up;soft tissue;tissue repair","Delivery of Adipose Derived Stem Cells for Healing Surgical Hernia Repairs"," Improving the rate of healing after surgical hernia repair will reduce pain, discomfort and follow-up care. The use of adult stem cells in soft tissue healing represents a potential improvement for surgical procedures. This proposal will develop a novel bioprosthetic for the local retention of cells to improve healing rates and reduce recurrence of incisional hernia repairs.   
      

","NIGMS","8392845","8/27/2012 12:00:00 AM","PA-11-096","2R44GM099488-03","2","R44","GM","099488","03"," ","COLE, ALISON E","9/10/2011 12:00:00 AM","8/31/2014 12:00:00 AM","Special Emphasis Panel[ZRG1-SBIB-V(12)B]"," ","9809509","LAMB, BRUCE ","Not Applicable","04","Unavailable","078296854","YJQ6K1QMS488","078296854","YJQ6K1QMS488","US","35.366248","-79.429394","10031812","AFFINERGY, LLC","DURHAM","NC","Domestic For-Profits","277094650","UNITED STATES","N","9/1/2012 12:00:00 AM","8/31/2013 12:00:00 AM","859","SBIR/STTR","2012"," "," ","NIGMS"," "," "," ","913033",
"Bioengineering; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Stem Cell Research - Nonembryonic - Non-Human; Stem Cell Research - Umbilical Cord Blood/ Placenta; Stem Cell Research - Umbilical Cord Blood/ Placenta - Human","Affect;Anastomosis - action;Animal Model;Antigen-Presenting Cells;Area;Blood Circulation;Blood Vessels;Cardiovascular Diseases;Cause of Death;Cell Therapy;Cells;Cessation of life;Characteristics;Collagen;Collagen Fibril;Collagen Type I;Development;Endothelial Cells;Engineering;Extracellular Matrix;Genetic;Germ Cells;Goals;Health;Home environment;Human;Implant;In Situ;In Vitro;Integrin Binding;Mechanics;Mesenchymal Stem Cells;Modeling;Modification;Mus;Natural regeneration;Peripheral;Physiological;Population;Property;Signal Transduction;Site;Skin;Source;Stem cells;Structure;Supporting Cell;Testing;Therapeutic;Thick;Tissue Engineering;Tissue Grafts;Tissues;Transplantation;Umbilical Cord Blood;United States;Vascular blood supply;Wound Healing;base;behavior influence;cell behavior;cell type;cost;density;design;human subject;improved;in vivo;interest;mouse model;novel;progenitor;repaired;stem cell differentiation;success;therapeutic angiogenesis;wound","Engineering Collagen Matrices that Modulzate in vivo Vessel Formation","n/a","NHLBI","8321541","8/20/2012 12:00:00 AM","PA-08-021","5F30HL096350-04","5","F30","HL","096350","04"," ","CARLSON, DREW E","9/1/2009 12:00:00 AM","5/31/2013 12:00:00 AM","Special Emphasis Panel[ZRG1-F15-N(20)L]"," ","9509814","CRITSER, PAUL JOHN","Not Applicable","07","PEDIATRICS","603007902","SHHBRBAPSM35","603007902","SHHBRBAPSM35","US","39.780714","-86.174977","577806","INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS","INDIANAPOLIS","IN","SCHOOLS OF MEDICINE","462022915","UNITED STATES","N","9/1/2012 12:00:00 AM","5/31/2013 12:00:00 AM","837","Training, Individual","2012"," "," ","NHLBI","32043"," "," ","32043",
"Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human","Address;Adipocytes;Animals;Biochemical;Biology;Bone Marrow;Bone Marrow Cells;CSF1 gene;Calvaria;Cell Count;Cell Culture Techniques;Cell Line;Cells;Coculture Techniques;Cost Savings;Densitometry;Dual-Energy X-Ray Absorptiometry;Engineering;Freezing;Functional disorder;Genotype;Goals;Hormones;Image;In Vitro;Laboratories;Macrophage Colony-Stimulating Factor;Marrow;Mesenchymal Stem Cells;Modeling;Mus;Musculoskeletal;Musculoskeletal Diseases;Osteoblasts;Osteoclasts;Parathyroid gland;Phenotype;Preparation;Protocols documentation;RNA;Rattus;Research;Research Personnel;Resolution;Services;Skeleton;Spleen;Stem cells;Stromal Cells;TNFSF11 gene;Techniques;Technology;Training;Universities;Variant;adipocyte differentiation;base;bone;bone cell;cell bank;college;fetal;interest;investigator training;medical schools;member;oncostatin M;progenitor;skeletal","CELL CORE","The relevance of the Cell Core is based on its ability to consistently provide cells of
high quality and of the appropriate genotype and phenotype. This results in uniformity of function, cost
savings and most importantly, lowers the threshold for new investigators to explore the skeletal biology of
their models and for an expansion of investigative efforts by current Center members.","NIAMS","8376753","9/18/2012 11:20:22 AM","RFA-AR-08-003","5P30AR046032-14","5","P30","AR","046032","14"," "," ","4/1/2012 12:00:00 AM","3/31/2014 12:00:00 AM","ZAR1-CHW-G","7270","1883490","HOROWITZ, MARK C","Not Applicable","03","Unavailable","043207562","FL6GV84CKN57","043207562","FL6GV84CKN57","US","41.303164","-72.931644","9420201","YALE UNIVERSITY","NEW HAVEN","CT","Domestic Higher Education","065208327","UNITED STATES","N","4/1/2012 12:00:00 AM","3/31/2013 12:00:00 AM"," ","Research Centers","2012","189759","189759"," ","117689","72070"," "," ",
"Biotechnology; Cancer; Clinical Research; Clinical Trials; Ovarian Cancer; Rare Diseases; Regenerative Medicine","Autoantibodies;Bioinformatics;Biological;Biological Assay;Biological Markers;Biometry;Cell Line;Clinical Trials;Data;Data Analyses;Development;Dose;Early Diagnosis;Effectiveness;Genes;In Vitro;Instruction;Malignant neoplasm of ovary;Measures;Mesenchymal Stem Cells;Mutation;Pathway interactions;Phase;Phase I Clinical Trials;Phase II Clinical Trials;Proteins;Research;Sample Size;Signal Transduction;Systems Biology;Toxic effect;University of Texas M D Anderson Cancer Center;Vascular Endothelial Growth Factors;Xenograft Model;angiogenesis;data management;design;high throughput screening;implementation trial;improved;in vivo;notch protein;predictive modeling;research study;response;statistics;stem cell therapy;tumor","Biostatistics, Bioinformatics and Systems Biology (BBSB) Core","The BBSB Core provides support to the Projects and Cores of the SPORE. This support includes designing 
in vivo and in vitro experiments and analyzing results obtained, designing new clinical trials, assisting in the conduct of and analyzing results from ongoing trials, supplying analysis and interpretation of high-throughput assays, combining results across assays, and helping interpret results in terms of component pathways.","NCI","8380491","9/4/2012 12:00:00 AM","PAR-08-020","5P50CA083639-13","5","P50","CA","083639","13"," "," "," "," ","ZCA1-RPRB-M","7772","6215880","ATKINSON, E NEELY","Not Applicable","09","Unavailable","800772139","S3GMKS8ELA16","800772139","S3GMKS8ELA16","US","29.706319","-95.397195","578407","UNIVERSITY OF TX MD ANDERSON CAN CTR","HOUSTON","TX","Domestic Higher Education","770304009","UNITED STATES","N","9/1/2012 12:00:00 AM","8/31/2013 12:00:00 AM"," ","Research Centers","2012","287346","287346"," ","287346","0"," "," ",
"Bioengineering; Dental/Oral and Craniofacial Disease; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Transplantation","Adhesions;Alginates;Award;Biocompatible Materials;Biology;Bone Regeneration;Bone Tissue;Cell Adhesion;Cell Transplants;Cells;Collagen;Dental;Dentistry;Extracellular Matrix;Face;Fibronectins;Fluorescence Resonance Energy Transfer;Gel;Hydrogels;In Vitro;Laminin;Lead;Ligand Binding;Ligands;Mechanics;Mesenchymal Stem Cells;Molecular Weight;Oral;Osteogenesis;Patients;Peptides;Phenotype;Plastics;Polymers;Population;Property;Publications;Research;Role;Screening procedure;Specificity;Staging;Stem cells;Structure;Synthetic Peptide Libraries;System;Techniques;Testing;Tissues;Traction;base;bone;cell type;craniofacial;crosslink;density;design;in vivo;nanoscale;novel strategies;osteoblast differentiation;osteoprogenitor cell;physical property;receptor;repaired;single cell analysis;success","Polymeric Matrices with Defined Cell Adhesion","RELEVANCE: 
There are many situations in which new bone is required in dentistry to repair or reconstruct facial or oral 
structures. This project aims to develop biodegradable plastics that can increase the amount and rate at 
which new bone can be created in our bodies by stimulating stem cells to become bone-forming cells. It will 
increase our basic understanding of bone biology, may lead to new approaches to help patients who require 
large volumes of bone tissue, and may also be widely useful in forming other body tissues as well.","NIDCR","8231337","1/30/2012 12:00:00 AM"," ","5R37DE013033-15","5","R37","DE","013033","15"," ","LUMELSKY, NADYA L","8/1/1998 12:00:00 AM","2/28/2014 12:00:00 AM","NSS"," ","8116883","MOONEY, DAVID J","Not Applicable","05","ENGINEERING (ALL TYPES)","082359691","LN53LCFJFL45","082359691","LN53LCFJFL45","US","42.373148","-71.118329","3212901","HARVARD UNIVERSITY","CAMBRIDGE","MA","GRADUATE SCHOOLS","021385319","UNITED STATES","N","3/1/2012 12:00:00 AM","2/28/2013 12:00:00 AM","121","Non-SBIR/STTR","2012"," "," ","NIDCR","245025","162782"," ","407807",
"Autoimmune Disease; Diabetes; Diagnostic Radiology; Digestive Diseases; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Transplantation","Acute Liver Failure;Alginates;Amino Acids;Antibodies;Apoptosis;Arginine;Attention;Biocompatible;Cell Line;Cell Survival;Cell Therapy;Cell physiology;Cells;Chemicals;Clinic;Clinical;Color;Contrast Media;Crosslinker;Detection;Diabetic mouse;Discrimination;Disease;Encapsulated;Environment;Firefly Luciferases;Goals;Hemophilia A;Human;Image;Imagery;In Vitro;Individual;Insulin;Insulin-Dependent Diabetes Mellitus;Islet Cell;Islets of Langerhans;Islets of Langerhans Transplantation;Label;Libraries;Life;Lipids;Liposomes;Magnetic Resonance;Magnetic Resonance Imaging;Malignant Neoplasms;Measures;Membrane;Mesenchymal;Mesenchymal Stem Cells;Metals;Methods;Microencapsulations;Monitor;Mus;Parkinson Disease;Patients;Peptides;Physiological;Population;Production;Reporting;Signal Transduction;Source;Staging;Stem cells;Streptozocin;Techniques;Testing;Therapeutic immunosuppression;Time;Toxic effect;Treatment Protocols;Validation;base;capsule;cell capsule;design;functional status;glycemic control;in vivo;insulin secretion;insulinoma;islet;mouse model;pre-clinical;preclinical study;prevent;public health relevance;remote sensing;small molecule libraries;success","DIACEST Islet Cell Capsules for Immunoprotection, MR Detection, and pH Sensing","
Islet transplantation (ITx) has received considerable attention in recent years for treatment of Type 1 Diabetes
Melitus (T1DM). This proposal is focused on the production of immunoprotective islet cell capsules which are
appropriate for treatment and allow MR monitoring of the pH these islets using biodegradable CEST contrast
agents.","NIBIB","8323997","8/6/2012 12:00:00 AM","PA-10-067","5R01EB012590-03","5","R01","EB","012590","03"," ","LIU, CHRISTINA","9/22/2010 12:00:00 AM","8/31/2014 12:00:00 AM","Medical Imaging Study Section[MEDI]"," ","1858847","MCMAHON, MICHAEL T","Not Applicable","07","Unavailable","155342439","DKMDCB5HNBL7","155342439","DKMDCB5HNBL7","US","39.298451","-76.594323","2370003","HUGO W. MOSER RES INST KENNEDY KRIEGER","BALTIMORE","MD","Research Institutes","212051832","UNITED STATES","N","9/1/2012 12:00:00 AM","8/31/2013 12:00:00 AM","286","Non-SBIR/STTR","2012"," "," ","NIBIB","216270","131925"," ","348195",
"Autoimmune Disease; Crohn's Disease; Digestive Diseases; Inflammatory Bowel Disease; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Embryonic - Non-Human; Transplantation","Acute;Adoptive Transfer;Affect;Allogenic;Animal Model;Antigens;Attenuated;Autoimmunity;Bone Marrow;Cells;Chemical Injury;Chronic;Clinical;Colitis;Collagen Arthritis;Colon;Crohn&apos;s disease;Data;Development;Disease;Disease Progression;Effector Cell;Enteral;Etiology;Experimental Autoimmune Encephalomyelitis;Future;Generations;Genetic;Histopathology;Home environment;Homing;Human;Immune;Immune response;Immune system;Immunologic Techniques;Immunosuppressive Agents;In Vitro;Inflammation;Inflammatory;Inflammatory Bowel Diseases;Inflammatory disease of the intestine;Injury;Interleukin-10;Investigation;Laboratories;Lamina Propria;Lymphoid;Lymphoid Tissue;Major Histocompatibility Complex;Mediating;Medical;Mesenchymal Stem Cells;Mesentery;Modeling;Molecular;Mus;Nature;Operative Surgical Procedures;Oral Administration;Oral mucous membrane structure;Patients;Poison;Population;Positioning Attribute;Production;Rattus;Rectal Administration;Regulation;Regulatory T-Lymphocyte;Reporting;Small Intestines;Stem cells;T-Lymphocyte;T-Lymphocyte Subsets;Testing;Therapeutic Agents;Tissues;Treatment Efficacy;Ulcerative Colitis;Work;allograft rejection;attenuation;bone;cost;cytokine;in vitro activity;in vivo;lymph nodes;mouse model;novel therapeutics;prevent;public health relevance;response;trafficking","Regulation of Chronic Colitis by Mesenchymal Stem Cells","Public Health Relevance: Currently, there are only a handful of medical treatments available for treating the inflammatory bowel diseases (IBD; Crohn's disease; ulcerative colitis) with only a few new therapies projected to be available in the near future. Thus, there is a clear need for the development of additional therapeutic agents to treat patients with IBD. A new and exciting therapy that has shown promise in animal models of chronic inflammatory diseases such as autoimmune encephalomyelitis, allograft rejection, collagen-induced arthritis and graft vs. host disease is treatment with bone marrow-derived mesenchymal stem cells (MSCs). Unfortunately, no attempt has been made to evaluate the therapeutic efficacy of these immune-modifying stem cells in animal models of chronic intestinal inflammation. Because large numbers of MSCs can be grown in the laboratory, we are now in a position to evaluate the therapeutic efficacy of human or mouse MSCs in a well-characterized, mouse model of chronic colitis. In addition to providing a better understanding of how (and where) MSCs to suppress intestinal inflammation, data obtained from the proposed studies may identify new therapeutic strategies that could be used to treat patients with IBD.","NIDDK","8289961","6/14/2012 12:00:00 AM","PA-10-067","1R01DK091269-01A1","1","R01","DK","091269","01","A","HAMILTON, FRANK A","6/15/2012 12:00:00 AM","5/31/2016 12:00:00 AM","Gastrointestinal Mucosal Pathobiology Study Section[GMPB]"," ","1861062","GRISHAM, MATTHEW B","Not Applicable","19","MICROBIOLOGY/IMMUN/VIROLOGY","609980727","E4Z2NUYUMHF9","609980727","E4Z2NUYUMHF9","US","33.568999","-101.884244","8285902","TEXAS TECH UNIVERSITY HEALTH SCIS CENTER","LUBBOCK","TX","SCHOOLS OF MEDICINE","794306271","UNITED STATES","N","6/15/2012 12:00:00 AM","5/31/2013 12:00:00 AM","847","Non-SBIR/STTR","2012"," "," ","NIDDK","217500","110110"," ","327610",
"Bioengineering; Prevention; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human","Adipocytes;Affect;Aging;Applications Grants;Bed rest;Binding;Bone Marrow;CCAAT-Enhancer-Binding Proteins;Cell Lineage;Cells;Consensus;Data;Disinhibition;Environment;Estrogens;Event;Evolution;Exercise;Fatty acid glycerol esters;Food;Functional disorder;Goals;Grant;Health;Individual;Intracellular Accumulation of Lipids;Investigation;Laboratories;Link;Lipids;Locomotion;Marrow;Mechanical Stimulation;Mechanics;Mesenchymal Stem Cells;Morphology;Mus;Muscle Cells;Nature;Nuclear;Osteoblasts;Osteogenesis;Output;Pathologic;Pathway interactions;Peroxisome Proliferator-Activated Receptors;Phenotype;Phosphorylation;Production;Proteins;Proto-Oncogene Proteins c-akt;Regimen;Regulation;Reporter;Repression;Resistance;Signal Transduction;Skeleton;Source;Stimulus;TSC2 gene;Testing;Time;Transactivation;Work;adipokines;adiponectin;aged;aging population;bone;bone mass;human FRAP1 protein;insight;integrin-linked kinase;lipid biosynthesis;osteogenic;osteoprogenitor cell;prevent;progenitor;public health relevance;receptor;response;sedentary;senescence;skeletal;stem cell differentiation;transcription factor","Mechanical Control of Mesenchymal Stem Cell Lineage Allocation","
Rubin: Narrative
 Evolution has led to interrelationships between bone and fat together to allow individuals to move to
food sources (skeleton necessary for locomotion), and store energy (as fat). Clearly our nation's health is
impacted by counterproductive ""activities"" -lack of exercise and caloric excess. Indeed, as the presence of
mechanical information prevents emergence of adipocytes from the marrow, exercise may be considered a
way to prevent bone marrow senescence as ""old"" bone marrow mimics unloading with increased fat. As
such, understanding the mechanisms by which mechanical input controls lineage selection is highly
relevant to an aging population, and should have high importance for understanding the pathophysiology
behind the decreased osteoprogenitor pool and how to reverse it.
 Consensus building now needs to be a targeted goal, examining the basics of how exercise impacts
these relationships by defining the fate of mesenchymal stem cells. We propose here a focused
investigation of how loading cells can affect lineage selection when that lineage is already directed toward
fat (as would be seen in non-exercising individuals, or aged individuals). We seek insights into the type of
mechanical input (how much and for how long), and the targets, beginning with �-catenin, but considering
other factors which determine lineage selection, and what strained cells become. We will examine
proximal nodes in strain activation of �-catenin and investigate alternative effectors of mechanical strain.
We will look at direct effects to prevent adipogenesis (inhibition of PPAR� expression) and indirect �-
catenin inhibition of PPAR� responses.","NIAMS","8271289","4/20/2012 12:00:00 AM","PA-07-070","5R01AR056655-03","5","R01","AR","056655","03"," ","SHARROCK, WILLIAM J","5/1/2010 12:00:00 AM","4/30/2015 12:00:00 AM","Skeletal Biology Development and Disease Study Section[SBDD]"," ","1897246","RUBIN, JANET E","Not Applicable","04","INTERNAL MEDICINE/MEDICINE","608195277","D3LHU66KBLD5","608195277","D3LHU66KBLD5","US","35.926939","-79.038605","578206","UNIV OF NORTH CAROLINA CHAPEL HILL","CHAPEL HILL","NC","SCHOOLS OF MEDICINE","275995023","UNITED STATES","N","5/1/2012 12:00:00 AM","4/30/2013 12:00:00 AM","846","Non-SBIR/STTR","2012"," "," ","NIAMS","194400","93312"," ","287712",
"Cancer; Genetics; Rare Diseases","Address;Aging;Apoptosis;Apoptotic;Binding;Biological Assay;Bone Tissue;Bone neoplasms;Cell Line;Cell Proliferation;Cells;DNA Binding;Data;EMSA;Elements;Equilibrium;Future;Genes;Genetic Transcription;Goals;Growth;Homeostasis;Life Cycle Stages;Literature;Malignant Bone Neoplasm;Mesenchymal Stem Cells;Mitotic;Molecular;Mus;Mutagenesis;NF-kappa B;Neoplasms;Osteoblasts;Osteocytes;Play;Proliferating;Regulation;Reporter;Repression;Response Elements;Role;Signal Transduction;base;bone;bone cell;cytokine;expression vector;inhibitor/antagonist;insight;loss of function;novel;osteoblast differentiation;osteosarcoma;p65;promoter","Regulation of apoptosis in osteoblasts by Runx2 and NFkB","
Despite the importance of apoptosis in bone homeostasis, its regulation in osteoblasts
remains elusive. In this proposal we will determine the specific role of the Runx2/Bax
axis in regulation of apoptosis in osteoblasts and get an insight on the role of NF-kB as a
modulator of the Runx2/Bax apoptotic axis.","NIAMS","8299020","5/7/2012 12:00:00 AM","PAR-09-031","5R03AR061515-02","5","R03","AR","061515","02"," ","WANG, FEI","7/1/2011 12:00:00 AM","5/31/2014 12:00:00 AM","ZAR1-EHB(M1)"," ","8868556","ELISEEV, ROMAN ","Not Applicable","25","ORTHOPEDICS","041294109","F27KDXZMF9Y8","041294109","F27KDXZMF9Y8","US","43.16888","-77.615939","7047101","UNIVERSITY OF ROCHESTER","ROCHESTER","NY","SCHOOL OF MEDICINE & DENTISTRY","146270140","UNITED STATES","N","6/1/2012 12:00:00 AM","5/31/2013 12:00:00 AM","846","Non-SBIR/STTR","2012"," "," ","NIAMS","50000","27250"," ","77250",
"Antimicrobial Resistance; Bioengineering; Biotechnology; Breast Cancer; Cancer; Emerging Infectious Diseases; Infectious Diseases; Lung; Lung Cancer; Regenerative Medicine","A549;Accounting;Address;Adopted;Anti-Bacterial Agents;Antibiotics;Arginine;Bacteria;Behavior;Biocompatible Materials;Biological Assay;Breast Carcinoma;Cancer cell line;Cancerous;Carcinoma;Cell membrane;Cell surface;Cells;Charge;Development;Drug Delivery Systems;Electron Microscopy;Electrostatics;Erythrocytes;Exhibits;Extracellular Matrix;Extravasation;Foundations;Gel;Human;Hydrogels;Immune;Immune response;Implant;Infection;Injectable;Lipids;Liposomes;Membrane;Mesenchymal Stem Cells;Molecular;Multi-Drug Resistance;Nosocomial Infections;Patients;Peptides;Pseudomonas aeruginosa;Recovery;Relative (related person);Site;Solutions;Spectrum Analysis;Sterility;Structure;Surface;Syringes;Tissue Engineering;Tissues;Wound Healing;aqueous;bacterial resistance;base;cancer cell;cell killing;cytotoxic;cytotoxicity;design;drug resistant bacteria;implantation;killings;lung Carcinoma;methicillin resistant Staphylococcus aureus;mouse model;novel;wound","Development of antibacterial agents and materials","n/a","NCI","8553099"," "," ","1ZIABC011314-03","1","ZIA","BC","011314","03"," "," "," "," "," "," ","11592582","SCHNEIDER, JOEL ","Not Applicable","n/a","Unavailable"," "," "," "," "," "," "," "," ","DIVISION OF BASIC SCIENCES - NCI"," "," ","Other Domestic Non-Profits"," ","UNITED STATES","N"," "," "," ","Intramural Research","2012"," "," ","NCI"," "," "," ","551535",
"Cancer; Hematology; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Stem Cell Research - Umbilical Cord Blood/ Placenta; Stem Cell Research - Umbilical Cord Blood/ Placenta - Human; Transplantation","Adult;Blood Cells;Blood Platelets;Bone Marrow;CD34 gene;Cells;Coculture Techniques;Coupled;Disadvantaged;Dose;Engraftment;Erythrocytes;Failure;Hematologic Neoplasms;Hematopoiesis;Hematopoietic;Hemorrhage;Homing;Infection;Leukocytes;Liquid substance;Mesenchymal Stem Cells;Methods;Mononuclear;Oxygen;Patients;Phase I Clinical Trials;Recovery;Resources;Suspension Culture;System;Testing;Therapeutic;Transplant Recipients;Transplantation;Umbilical Cord Blood;Umbilical Cord Blood Transplantation;base;experience;fighting;graft failure;improved;migration;prevent;progenitor;reconstitution;success","Cord Blood Expansion and Homing to Improve Engraftment","Slow recovery of white blood cells to fight infection, platelets to prevent bleeding and red cells to carry oxygen represent major obstacles to wider use of cord blood transplantation. Project 1 seeks to overcome these barriers by improving the expansion of cord blood cells, and by directing their migration to the bone marrow, before their transplantation into patients. If successful, this strategy will improve the survival of cord blood transplant patients.","NCI","8555381","10/12/2012 11:51:22 AM","PAR-09-025","5P01CA148600-02","5","P01","CA","148600","02"," "," ","9/22/2011 12:00:00 AM","8/31/2016 12:00:00 AM","ZCA1-RPRB-J(J1)","5302","1866037","SHPALL, ELIZABETH J","Not Applicable","09","Unavailable","800772139","S3GMKS8ELA16","800772139","S3GMKS8ELA16","US","29.706319","-95.397195","578407","UNIVERSITY OF TX MD ANDERSON CAN CTR","HOUSTON","TX","Domestic Higher Education","770304009","UNITED STATES","N","9/17/2012 12:00:00 AM","8/31/2013 12:00:00 AM"," ","Non-SBIR/STTR","2012","534406","534406"," ","425160","109246"," "," ",
